Caption,Structured_Caption,Audio_mp3,Audio_wav,Image_1,Image_2,Image_3,Video
Music playing and rain falling with thunder,<music playing& all>@<rain falling& all>@<thunder& all>,Music_playing_and_rain_falling_with_thunder.mp3,Music_playing_and_rain_falling_with_thunder.wav,Music_playing_and_rain_falling_with_thunder_image_1.jpg,Music_playing_and_rain_falling_with_thunder_image_5.jpg,Music_playing_and_rain_falling_with_thunder_image_9.jpg,Music_playing_and_rain_falling_with_thunder.mp4
"A lady talking making boom, breathing and hissing noises",<lady talking& all>@<boom noises& mid>@<breathing noises& mid>@<hissing noises& end>,"A_lady_talking_making_boom,_breathing_and_hissing_noises.mp3","A_lady_talking_making_boom,_breathing_and_hissing_noises.wav","A_lady_talking_making_boom,_breathing_and_hissing_noises_image_1.jpg","A_lady_talking_making_boom,_breathing_and_hissing_noises_image_5.jpg","A_lady_talking_making_boom,_breathing_and_hissing_noises_image_9.jpg","A_lady_talking_making_boom,_breathing_and_hissing_noises.mp4"
"A woman narrates clearly, along with very quiet background clicks",<woman narrates clearly& all>@<background clicks& all>,"A_woman_narrates_clearly,_along_with_very_quiet_background_clicks.mp3","A_woman_narrates_clearly,_along_with_very_quiet_background_clicks.wav","A_woman_narrates_clearly,_along_with_very_quiet_background_clicks_image_1.jpg","A_woman_narrates_clearly,_along_with_very_quiet_background_clicks_image_5.jpg","A_woman_narrates_clearly,_along_with_very_quiet_background_clicks_image_9.jpg","A_woman_narrates_clearly,_along_with_very_quiet_background_clicks.mp4"
Liquid is pouring with a meta ling sound in the background,<liquid pouring& all>@<metallic sound& all>,Liquid_is_pouring_with_a_meta_ling_sound_in_the_background.mp3,Liquid_is_pouring_with_a_meta_ling_sound_in_the_background.wav,Liquid_is_pouring_with_a_meta_ling_sound_in_the_background_image_1.jpg,Liquid_is_pouring_with_a_meta_ling_sound_in_the_background_image_5.jpg,Liquid_is_pouring_with_a_meta_ling_sound_in_the_background_image_9.jpg,Liquid_is_pouring_with_a_meta_ling_sound_in_the_background.mp4
A loud sustained noise from a large aircraft engine,<large aircraft engine noise& all>,A_loud_sustained_noise_from_a_large_aircraft_engine.mp3,A_loud_sustained_noise_from_a_large_aircraft_engine.wav,A_loud_sustained_noise_from_a_large_aircraft_engine_image_1.jpg,A_loud_sustained_noise_from_a_large_aircraft_engine_image_5.jpg,A_loud_sustained_noise_from_a_large_aircraft_engine_image_9.jpg,A_loud_sustained_noise_from_a_large_aircraft_engine.mp4
A cat meows then a man speaks,<cat meows& start>@<man speaks& mid>,A_cat_meows_then_a_man_speaks.mp3,A_cat_meows_then_a_man_speaks.wav,A_cat_meows_then_a_man_speaks_image_1.jpg,A_cat_meows_then_a_man_speaks_image_5.jpg,A_cat_meows_then_a_man_speaks_image_9.jpg,A_cat_meows_then_a_man_speaks.mp4
People speak in the background as cars drive through the rain,<people speak in the background& all>@<cars drive through the rain& all>,People_speak_in_the_background_as_cars_drive_through_the_rain.mp3,People_speak_in_the_background_as_cars_drive_through_the_rain.wav,People_speak_in_the_background_as_cars_drive_through_the_rain_image_1.jpg,People_speak_in_the_background_as_cars_drive_through_the_rain_image_5.jpg,People_speak_in_the_background_as_cars_drive_through_the_rain_image_9.jpg,People_speak_in_the_background_as_cars_drive_through_the_rain.mp4
A man and woman speak and water splashes,<man and woman speak& all>@<water splashes& all>,A_man_and_woman_speak_and_water_splashes.mp3,A_man_and_woman_speak_and_water_splashes.wav,A_man_and_woman_speak_and_water_splashes_image_1.jpg,A_man_and_woman_speak_and_water_splashes_image_5.jpg,A_man_and_woman_speak_and_water_splashes_image_9.jpg,A_man_and_woman_speak_and_water_splashes.mp4
Woman speaking while a pan sizzles,<woman speaking& all>@<pan sizzles& all>,Woman_speaking_while_a_pan_sizzles.mp3,Woman_speaking_while_a_pan_sizzles.wav,Woman_speaking_while_a_pan_sizzles_image_1.jpg,Woman_speaking_while_a_pan_sizzles_image_5.jpg,Woman_speaking_while_a_pan_sizzles_image_9.jpg,Woman_speaking_while_a_pan_sizzles.mp4
Continuous running water with some muffled speech,<continuous running water& all>@<muffled speech& all>,Continuous_running_water_with_some_muffled_speech.mp3,Continuous_running_water_with_some_muffled_speech.wav,Continuous_running_water_with_some_muffled_speech_image_1.jpg,Continuous_running_water_with_some_muffled_speech_image_5.jpg,Continuous_running_water_with_some_muffled_speech_image_9.jpg,Continuous_running_water_with_some_muffled_speech.mp4
An engine chugging loudly,<engine chugging loudly& all>,An_engine_chugging_loudly.mp3,An_engine_chugging_loudly.wav,An_engine_chugging_loudly_image_1.jpg,An_engine_chugging_loudly_image_5.jpg,An_engine_chugging_loudly_image_9.jpg,An_engine_chugging_loudly.mp4
Consistent buzzing insect,<consistent buzzing insect& all>,Consistent_buzzing_insect.mp3,Consistent_buzzing_insect.wav,Consistent_buzzing_insect_image_1.jpg,Consistent_buzzing_insect_image_5.jpg,Consistent_buzzing_insect_image_9.jpg,Consistent_buzzing_insect.mp4
An airplane engine spins loudly,<airplane engine spins loudly& all>,An_airplane_engine_spins_loudly.mp3,An_airplane_engine_spins_loudly.wav,An_airplane_engine_spins_loudly_image_1.jpg,An_airplane_engine_spins_loudly_image_5.jpg,An_airplane_engine_spins_loudly_image_9.jpg,An_airplane_engine_spins_loudly.mp4
A loud close continuous oink of a pig and then people yelling in the background,<loud close continuous oink of a pig& start>@<people yelling in the background& mid>,A_loud_close_continuous_oink_of_a_pig_and_then_people_yelling_in_the_background.mp3,A_loud_close_continuous_oink_of_a_pig_and_then_people_yelling_in_the_background.wav,A_loud_close_continuous_oink_of_a_pig_and_then_people_yelling_in_the_background_image_1.jpg,A_loud_close_continuous_oink_of_a_pig_and_then_people_yelling_in_the_background_image_5.jpg,A_loud_close_continuous_oink_of_a_pig_and_then_people_yelling_in_the_background_image_9.jpg,A_loud_close_continuous_oink_of_a_pig_and_then_people_yelling_in_the_background.mp4
A heavy engine revving,<heavy engine revving& all>,A_heavy_engine_revving.mp3,A_heavy_engine_revving.wav,A_heavy_engine_revving_image_1.jpg,A_heavy_engine_revving_up_image_1.jpg,A_heavy_engine_revving_up_image_9.jpg,A_heavy_engine_revving.mp4
Trickling water together with some speech and rustling,<speech& all>@<trickling water& mid>@<rustling& end>,Trickling_water_together_with_some_speech_and_rustling.mp3,Trickling_water_together_with_some_speech_and_rustling.wav,Trickling_water_together_with_some_speech_and_rustling_image_1.jpg,Trickling_water_together_with_some_speech_and_rustling_image_5.jpg,Trickling_water_together_with_some_speech_and_rustling_image_9.jpg,Trickling_water_together_with_some_speech_and_rustling.mp4
An insect buzzing intermittently,<insect buzzing intermittently& all>,An_insect_buzzing_intermittently.mp3,An_insect_buzzing_intermittently.wav,An_insect_buzzing_intermittently_image_1.jpg,An_insect_buzzing_intermittently_image_4.jpg,An_insect_buzzing_intermittently_image_6.jpg,An_insect_buzzing_intermittently.mp4
Train horn tooting multiple times,<train horn tooting& all>,Train_horn_tooting_multiple_times.mp3,Train_horn_tooting_multiple_times.wav,Train_horn_tooting_multiple_times_image_1.jpg,Train_horn_tooting_multiple_times_image_5.jpg,Train_horn_tooting_multiple_times_image_9.jpg,Train_horn_tooting_multiple_times.mp4
Traffic and car horns are in the background while an emergency vehicle blasts a series of sirens followed by wind and travel noise,<traffic and car horns& all>@<emergency vehicle sirens& start>@<wind and travel noise& end>,Traffic_and_car_horns_are_in_the_background_while_an_emergency_vehicle_blasts_a_series_of_sirens_followed_by_wind_and_travel_noise.mp3,Traffic_and_car_horns_are_in_the_background_while_an_emergency_vehicle_blasts_a_series_of_sirens_followed_by_wind_and_travel_noise.wav,Traffic_and_car_horns_are_in_the_background_while_an_emergency_vehicle_blasts_a_series_of_sirens_followed_by_wind_and_travel_noise_image_1.jpg,Traffic_and_car_horns_are_in_the_background_while_an_emergency_vehicle_blasts_a_series_of_sirens_followed_by_wind_and_travel_noise_image_5.jpg,Traffic_and_car_horns_are_in_the_background_while_an_emergency_vehicle_blasts_a_series_of_sirens_followed_by_wind_and_travel_noise_image_9.jpg,Traffic_and_car_horns_are_in_the_background_while_an_emergency_vehicle_blasts_a_series_of_sirens_followed_by_wind_and_travel_noise.mp4
Man talking followed by pigeons walking and flapping,<male voice talking& all>@<pigeons walking& mid>@<pigeons flapping& end>,Man_talking_followed_by_pigeons_walking_and_flapping.mp3,Man_talking_followed_by_pigeons_walking_and_flapping.wav,Man_talking_followed_by_pigeons_walking_and_flapping_image_1.jpg,Man_talking_followed_by_pigeons_walking_and_flapping_image_5.jpg,Man_talking_followed_by_pigeons_walking_and_flapping_image_9.jpg,Man_talking_followed_by_pigeons_walking_and_flapping.mp4
Moving of objects followed by a beep,<objects moving& all>@<beep& end>,Moving_of_objects_followed_by_a_beep.mp3,Moving_of_objects_followed_by_a_beep.wav,Moving_of_objects_followed_by_a_beep_image_1.jpg,Moving_of_objects_followed_by_a_beep_image_5.jpg,Moving_of_objects_followed_by_a_beep_image_9.jpg,Moving_of_objects_followed_by_a_beep.mp4
Several dogs are barking whimpering while birds chirp in the background,<dogs barking& all>@<dogs whimpering& all>@<birds chirping& all>,Several_dogs_are_barking_whimpering_while_birds_chirp_in_the_background.mp3,Several_dogs_are_barking_whimpering_while_birds_chirp_in_the_background.wav,Several_dogs_are_barking_whimpering_while_birds_chirp_in_the_background_image_1.jpg,Several_dogs_are_barking_whimpering_while_birds_chirp_in_the_background_image_5.jpg,Several_dogs_are_barking_whimpering_while_birds_chirp_in_the_background_image_9.jpg,Several_dogs_are_barking_whimpering_while_birds_chirp_in_the_background.mp4
A man speaks followed by barking of a dog and some light rustling,<man speaks& all>@<dog barking& mid>@<light rustling& end>,A_man_speaks_followed_by_barking_of_a_dog_and_some_light_rustling.mp3,A_man_speaks_followed_by_barking_of_a_dog_and_some_light_rustling.wav,A_man_speaks_followed_by_barking_of_a_dog_and_some_light_rustling_image_1.jpg,A_man_speaks_followed_by_barking_of_a_dog_and_some_light_rustling_image_5.jpg,A_man_speaks_followed_by_barking_of_a_dog_and_some_light_rustling_image_9.jpg,A_man_speaks_followed_by_barking_of_a_dog_and_some_light_rustling.mp4
A whistle and another man speaks and the whistling stops,<whistle& start>@<another man speaks& mid>@<whistling stops& end>,,A_whistle_and_another_man_speaks_and_the_whistling_stops.wav,A_whistle_and_another_man_speaks_and_the_whistling_stops._image_1.jpg,A_whistle_and_another_man_speaks_and_the_whistling_stops._image_5.jpg,A_whistle_and_another_man_speaks_and_the_whistling_stops._image_9.jpg,
Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble,<steam hissing& all>@<train runs slowly on railroad tracks& all>@<gears crank and rumble& all>,Steam_hissing_as_a_train_runs_slowly_on_railroad_tracks_as_gears_crank_and_rumble.mp3,Steam_hissing_as_a_train_runs_slowly_on_railroad_tracks_as_gears_crank_and_rumble.wav,Steam_hissing_as_a_train_runs_slowly_on_railroad_tracks_as_gears_crank_and_rumble_image_1.jpg,Steam_hissing_as_a_train_runs_slowly_on_railroad_tracks_as_gears_crank_and_rumble_image_5.jpg,Steam_hissing_as_a_train_runs_slowly_on_railroad_tracks_as_gears_crank_and_rumble_image_9.jpg,Steam_hissing_as_a_train_runs_slowly_on_railroad_tracks_as_gears_crank_and_rumble.mp4
A tool is softly buzzing while a man speaks,<man speaks& all>@<tool buzzing& all>,A_tool_is_softly_buzzing_while_a_man_speaks.mp3,A_tool_is_softly_buzzing_while_a_man_speaks.wav,A_tool_is_softly_buzzing_while_a_man_speaks_image_1.jpg,A_tool_is_softly_buzzing_while_a_man_speaks_image_5.jpg,A_tool_is_softly_buzzing_while_a_man_speaks_image_9.jpg,A_tool_is_softly_buzzing_while_a_man_speaks.mp4
Several bells ringing outside at the same time,<several bells ringing outside& all>,Several_bells_ringing_outside_at_the_same_time.mp3,Several_bells_ringing_outside_at_the_same_time.wav,Several_bells_ringing_outside_at_the_same_time_image_1.jpg,Several_bells_ringing_outside_at_the_same_time_image_5.jpg,Several_bells_ringing_outside_at_the_same_time_image_9.jpg,Several_bells_ringing_outside_at_the_same_time.mp4
A young man is speaking as a sink is filling up,<young man is speaking& all>@<sink is filling up& all>,A_young_man_is_speaking_as_a_sink_is_filling_up.mp3,A_young_man_is_speaking_as_a_sink_is_filling_up.wav,A_young_man_is_speaking_as_a_sink_is_filling_up_image_1.jpg,A_young_man_is_speaking_as_a_sink_is_filling_up_image_5.jpg,A_young_man_is_speaking_as_a_sink_is_filling_up_image_9.jpg,A_young_man_is_speaking_as_a_sink_is_filling_up.mp4
Some liquid flows while wind blows,<liquid flows& all>@<wind blows& all>,Some_liquid_flows_while_wind_blows.mp3,Some_liquid_flows_while_wind_blows.wav,Some_liquid_flows_while_wind_blows_image_1.jpg,Some_liquid_flows_while_wind_blows_image_5.jpg,Some_liquid_flows_while_wind_blows_image_9.jpg,Some_liquid_flows_while_wind_blows.mp4
Ongoing stream running with faint children noises,<ongoing stream running& all>@<faint children noises& all>,Ongoing_stream_running_with_faint_children_noises.mp3,Ongoing_stream_running_with_faint_children_noises.wav,Ongoing_stream_running_with_faint_children_noises_image_1.jpg,Ongoing_stream_running_with_faint_children_noises_image_5.jpg,Ongoing_stream_running_with_faint_children_noises_image_9.jpg,Ongoing_stream_running_with_faint_children_noises.mp4
A dog is barking people are talking,<dog barking& all>@<people talking& all>,A_dog_is_barking_people_are_talking.mp3,A_dog_is_barking_people_are_talking.wav,A_dog_is_barking_people_are_talking_image_1.jpg,A_dog_is_barking_people_are_talking_image_5.jpg,A_dog_is_barking_people_are_talking_image_9.jpg,A_dog_is_barking_people_are_talking.mp4
Music playing followed by several gunshots,<music playing& all>@<gunshots& start>,Music_playing_followed_by_several_gunshots.mp3,Music_playing_followed_by_several_gunshots.wav,Music_playing_followed_by_several_gunshots_image_1.jpg,Music_playing_followed_by_several_gunshots_image_5.jpg,Music_playing_followed_by_several_gunshots_image_9.jpg,Music_playing_followed_by_several_gunshots.mp4
An helicopter flies nearby,<helicopter flies nearby& all>,An_helicopter_flies_nearby.mp3,An_helicopter_flies_nearby.wav,An_helicopter_flies_nearby_image_1.jpg,An_helicopter_flies_nearby_image_5.jpg,An_helicopter_flies_nearby_image_9.jpg,An_helicopter_flies_nearby.mp4
A baby is crying,<baby crying& all>,A_baby_is_crying.mp3,A_baby_is_crying.wav,A_baby_is_crying_and_an_adult_female_speaks_image_1.jpg,A_baby_is_crying_image_1.jpg,A_baby_is_crying_loudly_image_9.jpg,A_baby_is_crying.mp4
A lawn mower idles,<lawn mower idles& all>,A_lawn_mower_idles.mp3,A_lawn_mower_idles.wav,A_lawn_mower_idles_image_1.jpg,A_lawn_mower_idles_image_5.jpg,A_lawn_mower_idles_image_9.jpg,A_lawn_mower_idles.mp4
"A man speaks, another man speaks with natural outside noise in the background",<male voice speaks& all>@<another man speaks& all>@<natural outside noise& all>,"A_man_speaks,_another_man_speaks_with_natural_outside_noise_in_the_background.mp3","A_man_speaks,_another_man_speaks_with_natural_outside_noise_in_the_background.wav","A_man_speaks,_another_man_speaks_with_natural_outside_noise_in_the_background_image_1.jpg","A_man_speaks,_another_man_speaks_with_natural_outside_noise_in_the_background_image_5.jpg","A_man_speaks,_another_man_speaks_with_natural_outside_noise_in_the_background_image_9.jpg","A_man_speaks,_another_man_speaks_with_natural_outside_noise_in_the_background.mp4"
Bell ringing continuously,<bell ringing continuously& all>,Bell_ringing_continuously.mp3,Bell_ringing_continuously.wav,Bell_ringing_continuously_image_1.jpg,Bell_ringing_continuously_image_5.jpg,Bell_ringing_continuously_image_9.jpg,Bell_ringing_continuously.mp4
A buzzing followed by a bee flying,<buzzing& start>@<bee flying& end>,A_buzzing_followed_by_a_bee_flying.mp3,A_buzzing_followed_by_a_bee_flying.wav,A_buzzing_followed_by_a_bee_flying_image_1.jpg,A_buzzing_followed_by_a_bee_flying_image_5.jpg,A_buzzing_followed_by_a_bee_flying_image_9.jpg,A_buzzing_followed_by_a_bee_flying.mp4
Waves crash into the shore,<waves crash into the shore& all>,Waves_crash_into_the_shore.mp3,Waves_crash_into_the_shore.wav,Waves_crash_into_the_shore_image_1.jpg,Waves_crash_into_the_shore_image_5.jpg,Waves_crash_into_the_shore_image_9.jpg,Waves_crash_into_the_shore.mp4
A drill is being used against a metallic surface,<drill is being used against a metallic surface& all>,A_drill_is_being_used_against_a_metallic_surface.mp3,A_drill_is_being_used_against_a_metallic_surface.wav,A_drill_is_being_used_against_a_metallic_surface_image_1.jpg,A_drill_is_being_used_against_a_metallic_surface_image_5.jpg,A_drill_is_being_used_against_a_metallic_surface_image_9.jpg,A_drill_is_being_used_against_a_metallic_surface.mp4
A man speaking followed by crinkling,<male voice speaking& all>@<crinkling& mid>,A_man_speaking_followed_by_crinkling.mp3,A_man_speaking_followed_by_crinkling.wav,A_man_speaking_followed_by_crinkling_image_1.jpg,A_man_speaking_followed_by_crinkling_image_5.jpg,A_man_speaking_followed_by_crinkling_image_9.jpg,A_man_speaking_followed_by_crinkling.mp4
Frogs croaking and chirping,<frogs croaking& all>@<chirping& all>,Frogs_croaking_and_chirping.mp3,Frogs_croaking_and_chirping.wav,Frogs_croaking_and_chirping_image_1.jpg,Frogs_croaking_and_chirping_image_5.jpg,Frogs_croaking_and_chirping_image_9.jpg,Frogs_croaking_and_chirping.mp4
An engine running then people talking,<engine running& start>@<people talking& mid>,An_engine_running_then_people_talking.mp3,An_engine_running_then_people_talking.wav,An_engine_running_then_people_talking_image_1.jpg,An_engine_running_then_people_talking_image_5.jpg,An_engine_running_then_people_talking_image_9.jpg,An_engine_running_then_people_talking.mp4
Two men are having a conversation then an engine is started up,<men talking& all>@<engine starts& end>,Two_men_are_having_a_conversation_then_an_engine_is_started_up.mp3,Two_men_are_having_a_conversation_then_an_engine_is_started_up.wav,Two_men_are_having_a_conversation_then_an_engine_is_started_up_image_1.jpg,Two_men_are_having_a_conversation_then_an_engine_is_started_up_image_5.jpg,Two_men_are_having_a_conversation_then_an_engine_is_started_up_image_9.jpg,Two_men_are_having_a_conversation_then_an_engine_is_started_up.mp4
An object is scrapping against another object,<scraping sound of object against another object& all>,An_object_is_scrapping_against_another_object.mp3,An_object_is_scrapping_against_another_object.wav,An_object_is_scrapping_against_another_object_image_1.jpg,An_object_is_scrapping_against_another_object_image_5.jpg,An_object_is_scrapping_against_another_object_image_9.jpg,An_object_is_scrapping_against_another_object.mp4
"Rustling, hissing and rattling are present, and insects are buzzing",<rustling& all>@<hissing& all>@<rattling& all>@<insects buzzing& all>,"Rustling,_hissing_and_rattling_are_present,_and_insects_are_buzzing.mp3","Rustling,_hissing_and_rattling_are_present,_and_insects_are_buzzing.wav","Rustling,_hissing_and_rattling_are_present,_and_insects_are_buzzing_image_1.jpg","Rustling,_hissing_and_rattling_are_present,_and_insects_are_buzzing_image_5.jpg","Rustling,_hissing_and_rattling_are_present,_and_insects_are_buzzing_image_9.jpg","Rustling,_hissing_and_rattling_are_present,_and_insects_are_buzzing.mp4"
"Low rumblings of an engine, people speak",<low rumblings of an engine& all>@<people speak& all>,"Low_rumblings_of_an_engine,_people_speak.mp3","Low_rumblings_of_an_engine,_people_speak.wav","Low_rumblings_of_an_engine,_people_speak_image_1.jpg","Low_rumblings_of_an_engine,_people_speak_image_5.jpg","Low_rumblings_of_an_engine,_people_speak_image_9.jpg","Low_rumblings_of_an_engine,_people_speak.mp4"
A machine whirs followed by a quick laugh before a woman speaks from a background distance followed by another woman speaking and dishes are being moved across a surface,<machine whirs& all>@<quick laugh& mid>@<woman speaks from background distance& mid>@<another woman speaking& mid>@<dishes being moved across a surface& end>,A_machine_whirs_followed_by_a_quick_laugh_before_a_woman_speaks_from_a_background_distance_followed_by_another_woman_speaking_and_dishes_are_being_moved_across_a_surface.mp3,A_machine_whirs_followed_by_a_quick_laugh_before_a_woman_speaks_from_a_background_distance_followed_by_another_woman_speaking_and_dishes_are_being_moved_across_a_surface.wav,A_machine_whirs_followed_by_a_quick_laugh_before_a_woman_speaks_from_a_background_distance_followed_by_another_woman_speaking_and_dishes_are_being_moved_across_a_surface_image_1.jpg,A_machine_whirs_followed_by_a_quick_laugh_before_a_woman_speaks_from_a_background_distance_followed_by_another_woman_speaking_and_dishes_are_being_moved_across_a_surface_image_5.jpg,A_machine_whirs_followed_by_a_quick_laugh_before_a_woman_speaks_from_a_background_distance_followed_by_another_woman_speaking_and_dishes_are_being_moved_across_a_surface_image_9.jpg,A_machine_whirs_followed_by_a_quick_laugh_before_a_woman_speaks_from_a_background_distance_followed_by_another_woman_speaking_and_dishes_are_being_moved_across_a_surface.mp4
Racing vehicles accelerating from a distance growing louder than driving by at a high rate,<vehicles accelerating from a distance& start>@<vehicles driving by at a high rate& end>,Racing_vehicles_accelerating_from_a_distance_growing_louder_than_driving_by_at_a_high_rate.mp3,Racing_vehicles_accelerating_from_a_distance_growing_louder_than_driving_by_at_a_high_rate.wav,Racing_vehicles_accelerating_from_a_distance_growing_louder_than_driving_by_at_a_high_rate_image_1.jpg,Racing_vehicles_accelerating_from_a_distance_growing_louder_than_driving_by_at_a_high_rate_image_5.jpg,Racing_vehicles_accelerating_from_a_distance_growing_louder_than_driving_by_at_a_high_rate_image_9.jpg,Racing_vehicles_accelerating_from_a_distance_growing_louder_than_driving_by_at_a_high_rate.mp4
"An adult male is speaking, crickets are chirping, and hissing is occurring",<adult male speaking& all>@<crickets chirping& mid>@<hissing& end>,"An_adult_male_is_speaking,_crickets_are_chirping,_and_hissing_is_occurring.mp3","An_adult_male_is_speaking,_crickets_are_chirping,_and_hissing_is_occurring.wav","An_adult_male_is_speaking,_crickets_are_chirping,_and_hissing_is_occurring_image_1.jpg","An_adult_male_is_speaking,_crickets_are_chirping,_and_hissing_is_occurring_image_5.jpg","An_adult_male_is_speaking,_crickets_are_chirping,_and_hissing_is_occurring_image_9.jpg","An_adult_male_is_speaking,_crickets_are_chirping,_and_hissing_is_occurring.mp4"
An adult female is speaking,<adult female is speaking& all>,An_adult_female_is_speaking.mp3,An_adult_female_is_speaking.wav,"An_adult_female_is_speaking,_a_crowd_of_people_laugh,_and_some_claps_occur_image_1.jpg","An_adult_female_is_speaking,_birds_are_chirping,_and_a_horse_snorts_image_5.jpg",An_adult_female_is_speaking_image_9.jpg,An_adult_female_is_speaking.mp4
"An adult male speaks while a bird chirps and music plays, followed by a motor running with metal grinding vibration",<adult male speaks& all>@<bird chirps& mid>@<music plays& mid>@<motor running& mid>@<metal grinding vibration& end>,"An_adult_male_speaks_while_a_bird_chirps_and_music_plays,_followed_by_a_motor_running_with_metal_grinding_vibration.mp3","An_adult_male_speaks_while_a_bird_chirps_and_music_plays,_followed_by_a_motor_running_with_metal_grinding_vibration.wav","An_adult_male_speaks_while_a_bird_chirps_and_music_plays,_followed_by_a_motor_running_with_metal_grinding_vibration_image_1.jpg","An_adult_male_speaks_while_a_bird_chirps_and_music_plays,_followed_by_a_motor_running_with_metal_grinding_vibration_image_5.jpg","An_adult_male_speaks_while_a_bird_chirps_and_music_plays,_followed_by_a_motor_running_with_metal_grinding_vibration_image_9.jpg","An_adult_male_speaks_while_a_bird_chirps_and_music_plays,_followed_by_a_motor_running_with_metal_grinding_vibration.mp4"
"Wind noise, followed by a woman talking",<wind noise& start>@<woman talking& end>,"Wind_noise,_followed_by_a_woman_talking.mp3","Wind_noise,_followed_by_a_woman_talking.wav","Wind_noise,_followed_by_a_woman_talking_image_1.jpg","Wind_noise,_followed_by_a_woman_talking_image_5.jpg","Wind_noise,_followed_by_a_woman_talking_image_9.jpg","Wind_noise,_followed_by_a_woman_talking.mp4"
A baby laughs followed by a fart noise and more laughs,<baby laughs& start>@<fart noise& mid>@<more laughs& end>,A_baby_laughs_followed_by_a_fart_noise_and_more_laughs.mp3,A_baby_laughs_followed_by_a_fart_noise_and_more_laughs.wav,A_baby_laughs_followed_by_a_fart_noise_and_more_laughs_image_1.jpg,A_baby_laughs_followed_by_a_fart_noise_and_more_laughs_image_5.jpg,A_baby_laughs_followed_by_a_fart_noise_and_more_laughs_image_9.jpg,A_baby_laughs_followed_by_a_fart_noise_and_more_laughs.mp4
A car accelerates and then decelerates and accelerates again,<car accelerates& start>@<car decelerates& mid>@<car accelerates again& end>,A_car_accelerates_and_then_decelerates_and_accelerates_again.mp3,A_car_accelerates_and_then_decelerates_and_accelerates_again.wav,A_car_accelerates_and_then_decelerates_and_accelerates_again_image_1.jpg,A_car_accelerates_and_then_decelerates_and_accelerates_again_image_5.jpg,A_car_accelerates_and_then_decelerates_and_accelerates_again_image_9.jpg,A_car_accelerates_and_then_decelerates_and_accelerates_again.mp4
Grinding noise against wood as bees are buzzing all around,<grinding noise against wood& all>@<bees buzzing& all>,Grinding_noise_against_wood_as_bees_are_buzzing_all_around.mp3,Grinding_noise_against_wood_as_bees_are_buzzing_all_around.wav,Grinding_noise_against_wood_as_bees_are_buzzing_all_around_image_1.jpg,Grinding_noise_against_wood_as_bees_are_buzzing_all_around_image_5.jpg,Grinding_noise_against_wood_as_bees_are_buzzing_all_around_image_9.jpg,Grinding_noise_against_wood_as_bees_are_buzzing_all_around.mp4
An engine cranks and then runs as men speak,<engine cranks& start>@<engine runs& mid>@<men speak& all>,An_engine_cranks_and_then_runs_as_men_speak.mp3,An_engine_cranks_and_then_runs_as_men_speak.wav,An_engine_cranks_and_then_runs_as_men_speak_image_1.jpg,An_engine_cranks_and_then_runs_as_men_speak_image_5.jpg,An_engine_cranks_and_then_runs_as_men_speak_image_9.jpg,An_engine_cranks_and_then_runs_as_men_speak.mp4
A gurgling stream of liquid is passing by,<gurgling stream of liquid& all>,A_gurgling_stream_of_liquid_is_passing_by.mp3,A_gurgling_stream_of_liquid_is_passing_by.wav,A_gurgling_stream_of_liquid_is_passing_by_image_1.jpg,A_gurgling_stream_of_liquid_is_passing_by_image_5.jpg,A_gurgling_stream_of_liquid_is_passing_by_image_9.jpg,A_gurgling_stream_of_liquid_is_passing_by.mp4
Some insects fly then a man sighs and birds tweets far away,<insects fly& all>@<man sighs& mid>@<birds tweet far away& end>,Some_insects_fly_then_a_man_sighs_and_birds_tweets_far_away.mp3,Some_insects_fly_then_a_man_sighs_and_birds_tweets_far_away.wav,Some_insects_fly_then_a_man_sighs_and_birds_tweets_far_away_image_1.jpg,Some_insects_fly_then_a_man_sighs_and_birds_tweets_far_away_image_5.jpg,Some_insects_fly_then_a_man_sighs_and_birds_tweets_far_away_image_9.jpg,Some_insects_fly_then_a_man_sighs_and_birds_tweets_far_away.mp4
A train horn clangs and sounds loudly as the train moves nearby,<train horn clangs& all>@<train sounds loudly& all>,A_train_horn_clangs_and_sounds_loudly_as_the_train_moves_nearby.mp3,A_train_horn_clangs_and_sounds_loudly_as_the_train_moves_nearby.wav,A_train_horn_clangs_and_sounds_loudly_as_the_train_moves_nearby_image_1.jpg,A_train_horn_clangs_and_sounds_loudly_as_the_train_moves_nearby_image_5.jpg,A_train_horn_clangs_and_sounds_loudly_as_the_train_moves_nearby_image_9.jpg,A_train_horn_clangs_and_sounds_loudly_as_the_train_moves_nearby.mp4
Sirens blare past a building,<sirens blare& all>,Sirens_blare_past_a_building.mp3,Sirens_blare_past_a_building.wav,Sirens_blare_past_a_building_image_1.jpg,Sirens_blare_past_a_building_image_5.jpg,Sirens_blare_past_a_building_image_9.jpg,Sirens_blare_past_a_building.mp4
A woman is speaking as water drips from a faucet and gurgles,<woman is speaking& all>@<water drips& start>@<water gurgles& mid>,A_woman_is_speaking_as_water_drips_from_a_faucet_and_gurgles.mp3,A_woman_is_speaking_as_water_drips_from_a_faucet_and_gurgles.wav,A_woman_is_speaking_as_water_drips_from_a_faucet_and_gurgles_image_1.jpg,A_woman_is_speaking_as_water_drips_from_a_faucet_and_gurgles_image_5.jpg,A_woman_is_speaking_as_water_drips_from_a_faucet_and_gurgles_image_9.jpg,A_woman_is_speaking_as_water_drips_from_a_faucet_and_gurgles.mp4
